test_id,test_type,input_text,expected_output,actual_output,success,response_time,similarity_score,error_message
rag_001,rag,What are the requirements for opening a savings account?,savings_accounts.yaml,savings_accounts.yaml,True,14.952664136886597,,
rag_002,rag,How can I apply for a credit card?,credit_cards.yaml,credit_cards.yaml,True,13.400461435317993,,
rag_003,rag,What loans do you offer for small businesses?,loans.yaml,loans.yaml,True,12.057150602340698,,
rag_004,rag,How do I send money to Philippines through remittance?,remittances_ofw.yaml,remittances_ofw.yaml,True,15.63494348526001,,
rag_005,rag,Can you help me with online banking setup?,digital_banking.yaml,,False,12.894096612930298,,
trans_001,translation,Paano mag-open ng savings account?,How to open a savings account?,How do I open a savings account?,True,0.44738125801086426,0.6666666666666666,
trans_002,translation,Pwede ba mag-apply ng credit card online?,Can I apply for a credit card online?,Can I apply for a credit card online?,True,0.5160348415374756,1.0,
trans_003,translation,Ano ang requirements para sa personal loan?,What are the requirements for a personal loan?,What are the requirements for a personal loan?,True,0.33530426025390625,1.0,
trans_004,translation,May online banking ba kayo?,Do you have online banking?,Do you have online banking?,True,0.31792306900024414,1.0,
class_001,classification,"Hello, how are you today?","Template: config.yaml, Category: general","Template: config.yaml, Category: config",True,0.4588615894317627,,
class_002,classification,I want to know about your branch locations,"Template: general_banking.yaml, Category: banking","Template: general_banking.yaml, Category: general_banking",True,0.4600348472595215,,
class_003,classification,What's the interest rate for time deposits?,"Template: savings_accounts.yaml, Category: savings","Template: savings_accounts.yaml, Category: savings_accounts",True,0.6454105377197266,,
e2e_001,end_to_end,Magkano ang minimum balance sa savings account?,savings_accounts.yaml,,False,12.839371681213379,,
e2e_002,end_to_end,Paano mag-transfer ng pera sa ibang bansa?,remittances_ofw.yaml,,False,12.139483213424683,,
